valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.8593917906642926,0.7507882519253397,0.6172408010099206,0.8797887296419182,0.7507882519253397,0.786522555730909,0.8660068404905364,0.8593917906642926,0.8452885095902554,1.031096736271736,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.8828604820808069,0.7998411238811685,0.6846706719916155,0.8908519310306753,0.7998411238811685,0.8312415168075327,0.8849217978978429,0.8828604820808069,0.8752174578221594,0.8873350847592018,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.8839821474793904,0.802598703777925,0.6878059168594843,0.8908451799037642,0.802598703777925,0.8334330382484578,0.8857173051018522,0.8839821474793904,0.8766673821713546,0.9029972858655855,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.888398214747939,0.8102367883296657,0.7004563068613372,0.8953746430778367,0.8102367883296657,0.8405876642173449,0.8901079302455953,0.888398214747939,0.8817216243116208,0.9726109371462317,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.8921946207123752,0.8177956953959895,0.7111639202320682,0.8978610541039962,0.8177956953959895,0.847064698995285,0.8935217801605064,0.8921946207123752,0.8862085769481244,1.0038027064266148,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.8888060930746966,0.8070082739543842,0.7022108346754168,0.9015364553406231,0.8070082739543842,0.8396065088130171,0.8921130474002673,0.8888060930746966,0.8814619355576931,1.0773871950340854,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.8913710202448839,0.8133500782270824,0.7091855125682376,0.9012637351826304,0.8133500782270824,0.8445494840499637,0.8938232967838488,0.8913710202448839,0.8847467579136252,1.0292203952823213,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.8959047447230741,0.8271105895251771,0.7214918407048694,0.89783982303914,0.8271105895251771,0.8540053858147081,0.8963209052798163,0.8959047447230741,0.8908564296266299,1.0172664481355713,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.8979598239848143,0.8336093719573834,0.7272750172843372,0.8963684740498692,0.8336093719573834,0.8582363995447276,0.8976446685846972,0.8979598239848143,0.8935940497639075,1.0097270914116276,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.8992148342209916,0.8333983619010428,0.7307960688999294,0.9004690449544767,0.8333983619010428,0.8593551180329502,0.89947342992957,0.8992148342209916,0.8946333454043877,1.0189574172194589,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.8986508248935333,0.8442077350722789,0.748967968580593,0.9074233092422717,0.8442077350722789,0.8680948927375625,0.9007875211597468,0.8986508248935333,0.8944135720516205,1.016156476017584,
classification,0.851849695598656,0.7387737866047606,0.6099646712537499,0.8895495664203253,0.7387737866047606,0.7750998943123357,0.865723815674504,0.851849695598656,0.8345425001292724,1.346157642940951,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.8718686583053329,0.781712434744934,0.663774756165307,0.8909988276886276,0.781712434744934,0.8154394199301549,0.8777532160598317,0.8718686583053329,0.8616121918393311,1.1597174830365968,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.8850011643767258,0.809472035093999,0.6992480522819591,0.8949854778248383,0.809472035093999,0.839324919260247,0.8876271629851423,0.8850011643767258,0.8780849257234482,0.9739586606189958,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.8832379653348414,0.8015203813876706,0.6954665784128787,0.9010290775894915,0.8015203813876706,0.8343500810424638,0.888334141905804,0.8832379653348414,0.8750656600547778,1.1280525978686424,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.8886606340862969,0.817622083285825,0.709087880663109,0.895757764464719,0.817622083285825,0.8458620025798289,0.890418772117647,0.8886606340862969,0.8826100423221125,1.0982232388905662,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.8890681659403173,0.8129156332498548,0.7111747479870669,0.9040781830885906,0.8129156332498548,0.8443244612144722,0.8931207900012844,0.8890681659403173,0.8820852048862993,1.038860501449628,,1.0,0.0,5.0,,,,,,,,,,,,
classification,0.8916131607837918,0.8208661548678156,0.717445891340663,0.9010461988532623,0.8208661548678156,0.8497688609147629,0.8939693388717531,0.8916131607837918,0.8856414326633001,1.0712486557797807,,1.0,0.0,6.0,,,,,,,,,,,,
classification,0.8971855351142752,0.8399003838219321,0.7322171762684809,0.8943375903213624,0.8399003838219321,0.8616850461740345,0.8966352737278769,0.8971855351142752,0.8933891962602066,0.9412927378548972,,1.0,0.0,7.0,,,,,,,,,,,,
classification,0.8960294753651152,0.8338429801032401,0.7290268342811879,0.898001573177974,0.8338429801032401,0.8585571293496869,0.8964551419354406,0.8960294753651152,0.8914961249907634,0.989404143627249,,1.0,0.0,8.0,,,,,,,,,,,,
classification,0.9019345287601052,0.8477217746534866,0.7451348467291439,0.8991883599778596,0.8477217746534866,0.8686541551824354,0.901429928590442,0.9019345287601052,0.8985676149022979,0.9758762613813073,,1.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.901055549632157,0.853350212322542,0.748823974343088,0.89672916910485,0.853350212322542,0.8713640919395867,0.9002969658021007,0.901055549632157,0.8982023758237053,0.975711619113388,
classification,0.8552439969016267,0.7631454705687524,0.6231255116582765,0.8688885490221092,0.7631454705687524,0.7942031732170884,0.8597007128333091,0.8552439969016267,0.8433292726199227,1.1196659085327958,,2.0,0.0,0.0,,,,,,,,,,,,
classification,0.8583501161890008,0.7607999476619489,0.634434132982137,0.8858385255645529,0.7607999476619489,0.7949583582776927,0.8679555739328562,0.8583501161890008,0.8449296051351559,1.1022582257523623,,2.0,0.0,1.0,,,,,,,,,,,,
classification,0.8732842757552285,0.7963812720591811,0.6728435731405885,0.8818716941620692,0.7963812720591811,0.8251915025265584,0.8757085408724151,0.8732842757552285,0.865380200243719,1.1116490564717783,,2.0,0.0,2.0,,,,,,,,,,,,
classification,0.874848954298993,0.79625880935923,0.67762573442406,0.8874793098531712,0.79625880935923,0.8263929963941258,0.8785258459903138,0.874848954298993,0.8665942841883464,1.146000884925853,,2.0,0.0,3.0,,,,,,,,,,,,
classification,0.8758714175058094,0.7994491632895515,0.6801369058373065,0.8861976149810182,0.7994491632895515,0.8286990874222762,0.8787925583285602,0.8758714175058094,0.8680999977224639,1.2363048457527432,,2.0,0.0,4.0,,,,,,,,,,,,
classification,0.8798683191324554,0.8060943502993807,0.6910442495054836,0.8900285600726777,0.8060943502993807,0.8349607317281857,0.8826671337750668,0.8798683191324554,0.872695028401307,1.1753430333542663,,2.0,0.0,5.0,,,,,,,,,,,,
classification,0.8781099922540666,0.802770605202155,0.686325412039268,0.8889434468847821,0.802770605202155,0.8320350015182416,0.8811487483148146,0.8781099922540666,0.8705939139912863,1.303109900108852,,2.0,0.0,6.0,,,,,,,,,,,,
