valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.9830102989277506,0.6484731027218545,0.4626824863907811,0.8604610520159295,0.6484731027218545,0.7084209270565899,0.9799003339198136,0.9830102989277506,0.979481357526065,0.1580623109813616,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.9841162766983819,0.65232406460355,0.49913568484032117,0.9088921086261673,0.65232406460355,0.7197092222262592,0.9820846326463674,0.9841162766983819,0.9804968656203176,0.17351350215087705,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.9843751225595934,0.6544644380792957,0.5089772430136813,0.919283941868902,0.6544644380792957,0.7234589913950366,0.9826060502364747,0.9843751225595934,0.9807806386110591,0.15459671003293116,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.9831201123234161,0.6569269963907837,0.47256201305539436,0.8557623310823816,0.6569269963907837,0.7160895869174451,0.980042839461616,0.9831201123234161,0.979854608530873,0.1745581200153078,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.9841711833962146,0.6926980979174986,0.5268044636632953,0.8600488872681951,0.6926980979174986,0.7498805638500027,0.9816618316465606,0.9841711833962146,0.9817786996202845,0.15930604779939847,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.9841084328844057,0.6870066566190751,0.5211406068271539,0.863072011705694,0.6870066566190751,0.7455923132206239,0.9815588066922268,0.9841084328844057,0.9815695268205689,0.16511562184256395,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.9849477209798493,0.6929121428886622,0.5469900928202381,0.8877388913462185,0.6929121428886622,0.7562419872356995,0.982828375245632,0.9849477209798493,0.9824271241410301,0.15489190345631,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.9848300637702077,0.6802553391133891,0.5364796490959649,0.8991704424814335,0.6802553391133891,0.7466649711888366,0.9827977388064988,0.9848300637702077,0.9819708418648194,0.1574645332051461,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.9849869400497298,0.6973136385232457,0.5506616894569426,0.8841958144721086,0.6973136385232457,0.7594223003444229,0.9828574533585696,0.9849869400497298,0.9825786660930391,0.15514214420026493,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.984932033351897,0.7171847493417703,0.5620110990584263,0.863580403806135,0.7171847493417703,0.7710692940671153,0.9827981423316096,0.984932033351897,0.9830350346500559,0.15778807034149,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.9844147013563326,0.712630635539242,0.5660271288290057,0.8766939671673968,0.712630635539242,0.7707376408475808,0.9822523805636226,0.9844147013563326,0.9822483463418146,0.1724218175062325,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.3270705397065543,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.33194467701325525,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.33234771044699535,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.3324093750013165,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.3324093750013165,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.3323401661971673,,1.0,0.0,5.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.332381504959184,,1.0,0.0,6.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.3322003580585142,,1.0,0.0,7.0,,,,,,,,,,,,
classification,0.979149339632057,0.5,0.0,0.4895746698160285,0.5,0.4947324186329922,0.9587334293018932,0.979149339632057,0.9688338419981294,0.33237654008560863,,1.0,0.0,8.0,,,,,,,,,,,,
