valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.8442453858764285,0.7124086715812911,0.5763075342812856,0.8909096219999018,0.7124086715812911,0.7492654822689901,0.8619710799384241,0.8442453858764285,0.8219765651557848,1.059581622892207,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.8550070986516484,0.7338417970050954,0.608055957883976,0.8952801131507544,0.7338417970050954,0.772197218382088,0.8694517742341406,0.8550070986516484,0.8369112232465564,0.8909127645324882,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.8691651828785228,0.7634929831763715,0.64809598851646,0.8985195405089568,0.7634929831763715,0.8014438138497111,0.8786718698557388,0.8691651828785228,0.8560802374101394,0.9365440735732798,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.8556267599557609,0.7335314453853237,0.6108323043003111,0.8994281191567065,0.7335314453853237,0.7723814684974666,0.8714760125175028,0.8556267599557609,0.8372391373726568,1.163915193759934,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.8749931366627709,0.7746559625282601,0.664813179871468,0.9023001722430628,0.7746559625282601,0.8122953057974982,0.883509791118456,0.8749931366627709,0.8634094992537842,0.9764343032202734,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.8775188447630776,0.7796695111267058,0.6719338306008047,0.9035969731621178,0.7796695111267058,0.8170121844616534,0.8854979668559868,0.8775188447630776,0.8665903399335706,1.0365727930648045,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.8804681188180941,0.7881442077655075,0.6793369430127948,0.9004060030572765,0.7881442077655075,0.8237448478571097,0.8862458833069431,0.8804681188180941,0.8708565972536498,0.9621390685458923,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.8781463498811662,0.7815116516244797,0.6734728545469858,0.9027947717211151,0.7815116516244797,0.8184821950626356,0.8856014134037036,0.8781463498811662,0.8675158254981732,1.0611624523546446,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.8887276549349356,0.804864800939543,0.7024239034235565,0.9046050401523975,0.804864800939543,0.8386210236302873,0.8929753574026051,0.8887276549349356,0.8809900777532186,0.9523280780313093,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.8861941030206527,0.8009765051330673,0.6950608358034148,0.9012851146422126,0.8009765051330673,0.8346675634422229,0.8902671629303258,0.8861941030206527,0.8781558412191114,0.9663737147988138,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.8860179651433275,0.8183657160681461,0.7178829059558061,0.9046885709210919,0.8183657160681461,0.847524356218282,0.8915774956707511,0.8860179651433275,0.8792843252914819,0.9502114718995875,
