valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.8849469365984516,0.8556889187603787,0.7064114971401868,0.8507399141298659,0.8556889187603787,0.8531591940850745,0.8858254026070362,0.8849469365984516,0.8853499303838768,0.3900786977908082,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.8950497689996784,0.864684286850752,0.7299800327927786,0.8652960022474349,0.864684286850752,0.8649893580732422,0.8949628462185614,0.8950497689996784,0.8950057954610791,0.44483909833486246,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.9004933758990972,0.8689165153457967,0.7426284227546266,0.8737274907346515,0.8689165153457967,0.8712752894549196,0.8999093200421322,0.9004933758990972,0.9001710769162755,0.46338844504425697,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.9039211226066562,0.8726430656352704,0.7511901130133207,0.8785704323566219,0.8726430656352704,0.8755372385001534,0.9032529935468206,0.9039211226066562,0.9035420927164,0.5016868570847176,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.906376236381178,0.8646971643465975,0.7535134627229253,0.8892150762413725,0.8646971643465975,0.8758478304550009,0.9047472332489811,0.906376236381178,0.9048551038313519,0.5334763216727533,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.9057016683792327,0.8715921889661192,0.7544078866649145,0.8829004459470181,0.8715921889661192,0.8769997903982035,0.9046060707434667,0.9057016683792327,0.9049951319333572,0.5418616915565633,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.9105726768583956,0.8727845064671049,0.7654176794274139,0.892897380266892,0.8727845064671049,0.8820991395159246,0.9091729591885602,0.9105726768583956,0.9093987774305146,0.6079414084892021,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.9062899544274408,0.872894632709901,0.756159990641811,0.883337464052645,0.872894632709901,0.8779057940725397,0.9052670205146642,0.9062899544274408,0.9056430338376049,0.6097988382387493,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.909725544948976,0.8772535615356958,0.7650929525830784,0.8879136513048567,0.8772535615356958,0.8823680900001534,0.9087454922987132,0.909725544948976,0.9090968067192066,0.6073605271909338,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.9069802100573383,0.8716916959683381,0.7571578709896379,0.8855937917230171,0.8716916959683381,0.8782754123297146,0.9057450170045709,0.9069802100573383,0.9061266236800719,0.6383314272714754,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.9068460795190209,0.8747771822919786,0.7706817940464677,0.8962023675256405,0.8747771822919786,0.8844813845223172,0.9056823582784713,0.9068460795190209,0.9055527653146568,0.6462394851749855,
classification,0.886348514587977,0.8401420826009776,0.7062876229472064,0.8666425237020801,0.8401420826009776,0.8519085899805018,0.8840548276392012,0.886348514587977,0.8842203347789194,0.500404564098574,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.8953558002594897,0.8532989036245324,0.7303718090633597,0.8774728523085088,0.8532989036245324,0.864192880223256,0.8934754902959637,0.8953558002594897,0.8936265709304425,0.4831358482056212,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.8967530523304168,0.8493117231844632,0.7324490665356423,0.8839562198043025,0.8493117231844632,0.8642845152218337,0.8949677302348723,0.8967530523304168,0.8943183261163572,0.5146082644548421,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.9009448085431984,0.854743289736158,0.7435328057395679,0.8896064063834246,0.854743289736158,0.8698417860266086,0.8993734617022061,0.9009448085431984,0.8986291214169463,0.5374785776562737,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.9031072224624904,0.8629508747362924,0.7504949116231906,0.887960638462115,0.8629508747362924,0.8742266500254827,0.9015057162110042,0.9031072224624904,0.9014951716266564,0.5727286762016695,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.9045876442995442,0.8639133592885918,0.7541125853611587,0.8906738904225756,0.8639133592885918,0.8759039783177034,0.9030392470668136,0.9045876442995442,0.9028975677273173,0.5748162413956421,,1.0,0.0,5.0,,,,,,,,,,,,
