valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.884821435574834,0.8359656444878806,0.6958416155025245,0.8603013893007071,0.8359656444878806,0.8469228702657486,0.8823503804780926,0.884821435574834,0.8828104547152079,0.5471421564314181,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.891888711967307,0.8289411080271978,0.7105848844149347,0.8837547707150948,0.8289411080271978,0.8509313700740508,0.8903948603700305,0.891888711967307,0.8877473783670207,0.5943577337859149,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.8986814548706162,0.8622409895638524,0.7359460259546223,0.873795738694924,0.8622409895638524,0.8677525638630812,0.897434001237938,0.8986814548706162,0.8978863354583002,0.6463500696212162,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.9037250272572536,0.8639496339293558,0.7473344236246141,0.8836442522997174,0.8639496339293558,0.8730621757400913,0.9021308508824427,0.9037250272572536,0.9024575830683988,0.6470996604182169,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.9060232647522531,0.8621770681918026,0.7520044106100756,0.8903550799063309,0.8621770681918026,0.8748160871599096,0.9043524950301386,0.9060232647522531,0.9042656732156876,0.8240701889815015,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.9061330781479187,0.8683796696430348,0.7541391867389723,0.8859645087949763,0.8683796696430348,0.8765889203213628,0.9046932455189222,0.9061330781479187,0.9050394640464484,0.7911000732288579,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.905285946238499,0.8681553740295944,0.7522180246539162,0.8842344812334282,0.8681553740295944,0.8757031159395622,0.9038937081256688,0.905285946238499,0.9042742625281986,0.84136292840369,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.9093411980641467,0.8685556786406781,0.7614003921071445,0.8932448953432892,0.8685556786406781,0.8797919925622468,0.9078176667209918,0.9093411980641467,0.9078732978398755,0.7835844897057197,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.9085960357364165,0.8732745590898936,0.7612121522260857,0.8880815920789322,0.8732745590898936,0.8802656214793498,0.9073483429046396,0.9085960357364165,0.9077074838653874,0.7891414358622039,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.9108236789056311,0.877277943353816,0.767448724727716,0.890280929127791,0.877277943353816,0.8834627544273399,0.9097201521213019,0.9108236789056311,0.9100685007362478,0.821015200913846,,0.0,0.0,9.0,,,,,,,,,,,,
