valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.7364007875189232,0.5015995732299278,0.04679490978786719,0.8422418463069503,0.5015995732299278,0.4272725195086453,0.7922817925547951,0.7364007875189232,0.6255261087713145,4.131275009661007,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.7371537936606295,0.5030519851786206,0.06515558009981093,0.8477449405620702,0.5030519851786206,0.4303627728285096,0.7954588898334558,0.7371537936606295,0.6273319141412853,4.161939342735493,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.7383303657570457,0.505799383314424,0.08369689934636779,0.8019791321075903,0.505799383314424,0.4365626123405008,0.7717631588365,0.7383303657570457,0.6308465662100032,4.149799334836227,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.7391069033406804,0.5074388030932018,0.09485173018073806,0.8023621745849707,0.5074388030932018,0.44010188726019095,0.7722687910254697,0.7391069033406804,0.632886082255564,4.12877249692581,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.7405815403681886,0.5126309727558093,0.1106018705065594,0.7421185999693403,0.5126309727558093,0.4525787098212804,0.7413792235274458,0.7405815403681886,0.6396628220727969,4.107583427918671,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.7391147471546565,0.5074536354871502,0.09496380500891026,0.8024740167840696,0.5074536354871502,0.4401324950901035,0.7723306790363151,0.7391147471546565,0.6329040820515766,4.143394937944652,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.7376714853830526,0.5041829345373363,0.07419971532597418,0.8290511544774004,0.5041829345373363,0.4328706875451234,0.7857812888584091,0.7376714853830526,0.6287672361828365,4.167782147097819,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.7891112174383672,0.6061091218933343,0.3892604816926856,0.856999756250787,0.6061091218933343,0.6135808268053691,0.8205177366059168,0.7891112174383672,0.7362917378898447,3.256092093318459,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.8013710986830236,0.6295296713817238,0.4357563864142439,0.8664867405963168,0.6295296713817238,0.6469734246547786,0.8304549457081071,0.8013710986830236,0.7569757242230802,3.083588101627982,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.7773376526602295,0.5806724614760046,0.344739834762313,0.8682965397903988,0.5806724614760046,0.5738754099834906,0.8212430051317974,0.7773376526602295,0.7126110044093201,3.4817444073309476,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.7578284364599362,0.588171201231876,0.35438975996329664,0.8561029571224623,0.588171201231876,0.5777210574833407,0.8104092890099672,0.7578284364599362,0.6920486303950006,3.7751334580043356,
classification,0.7274443594264612,0.502819530790188,0.05302290560227029,0.7492815939704431,0.502819530790188,0.4272483340657098,0.7393567392643374,0.7274443594264612,0.6148557620026276,4.2452592600599095,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.7277437705845171,0.5036596990044083,0.05900393457083733,0.7378244966762281,0.5036596990044083,0.4292920802795438,0.7332353696666625,0.7277437705845171,0.616019609665627,4.3105830514206716,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.7275025782627499,0.5026892790484283,0.055126694460472477,0.7825062393501252,0.5026892790484283,0.4267467280991402,0.7575254482067522,0.7275025782627499,0.6146112159726087,4.314425201388914,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.7302887654279916,0.5086198930448277,0.0982237503805618,0.7798151058443825,0.5086198930448277,0.43986974299529286,0.7571275928456485,0.7302887654279916,0.6223523286743856,4.273326131776762,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.7816460960111781,0.6051862393146218,0.38783013006836653,0.8574902258339828,0.6051862393146218,0.6096170928265232,0.8182823740174195,0.7816460960111781,0.7268664886023729,3.376507057123793,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.7729964403340098,0.5876198182462811,0.3563932571928444,0.8624070339187104,0.5876198182462811,0.5823922721516658,0.8173955931357407,0.7729964403340098,0.7100405147851696,3.528919117939705,,1.0,0.0,5.0,,,,,,,,,,,,
classification,0.7898383179746499,0.6202801414662634,0.4181506756613749,0.8634223933904894,0.6202801414662634,0.6315843977426152,0.8246361435346509,0.7898383179746499,0.740831675899826,3.277713729467755,,1.0,0.0,6.0,,,,,,,,,,,,
classification,0.7854469543231645,0.611569409636902,0.4029809517742181,0.8638847960685595,0.611569409636902,0.6189571054065617,0.8230731715400911,0.7854469543231645,0.7329152037376914,3.3578976394401834,,1.0,0.0,7.0,,,,,,,,,,,,
classification,0.7904787251738248,0.6196611956349718,0.4229830199346309,0.8737941824073072,0.6196611956349718,0.6305778884575639,0.8301331844736081,0.7904787251738248,0.7405420561022418,3.264136495725983,,1.0,0.0,8.0,,,,,,,,,,,,
classification,0.8182241591536644,0.673966376635925,0.5116192540137544,0.8761563960508691,0.673966376635925,0.7024492117419532,0.84319077170769,0.8182241591536644,0.7864246402645811,2.826816274660926,,1.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.8049721007925508,0.6646039141575897,0.483090902217134,0.8544521116027848,0.6646039141575897,0.6882770326456098,0.8272327593566903,0.8049721007925508,0.7711033831836407,3.0271238827511975,
classification,0.7192021688613478,0.5000827426428001,0.01090940954377559,0.8595945590035168,0.5000827426428001,0.4184958850079384,0.7980532554851048,0.7192021688613478,0.6017823524522657,4.462170145609327,,2.0,0.0,0.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.4757944531901845,,2.0,0.0,1.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.4764658546249185,,2.0,0.0,2.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477328191771494,,2.0,0.0,3.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477327898208565,,2.0,0.0,4.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477327066705013,,2.0,0.0,5.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477325691796853,,2.0,0.0,6.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.47732231895099,,2.0,0.0,7.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477315396362524,,2.0,0.0,8.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477278863480663,,2.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.7409394760614273,0.5,0.0,0.37046973803071365,0.5,0.4255974927615944,0.5489913071861824,0.7409394760614273,0.6306839665996657,4.13004273886324,
classification,0.7415349537001132,0.5028869147767675,0.058988509215730296,0.8013289695540076,0.5028869147767675,0.4317345764502626,0.7724973680559176,0.7415349537001132,0.6333025042730109,4.027497978232829,,3.0,0.0,0.0,,,,,,,,,,,,
classification,0.7424966263901599,0.5052608191427724,0.07656286179069723,0.7785626936840613,0.5052608191427724,0.43713301249992603,0.7611092439531709,0.7424966263901599,0.636299551398525,3.986210577211272,,3.0,0.0,1.0,,,,,,,,,,,,
classification,0.7422406973678087,0.504729518767069,0.07203320427666908,0.7742764525269019,0.504729518767069,0.4359959910860821,0.7587833166350274,0.7422406973678087,0.6356510112506397,4.081632408480031,,3.0,0.0,2.0,,,,,,,,,,,,
classification,0.743186859208016,0.5061629850539167,0.0895975360419586,0.8256424603726855,0.5061629850539167,0.43865578475002687,0.7857391028840583,0.743186859208016,0.6372814099471974,4.069366064804169,,3.0,0.0,3.0,,,,,,,,,,,,
classification,0.742667245738394,0.5048335941488642,0.0831549077582877,0.8576395985746055,0.5048335941488642,0.43561601451836773,0.8021172829584342,0.742667245738394,0.6356010993879704,4.086152825546536,,3.0,0.0,4.0,,,,,,,,,,,,
classification,0.745265313086504,0.5115871066619965,0.11399669230851363,0.7803815964666978,0.5115871066619965,0.45088246433321344,0.7632369587282546,0.745265313086504,0.6440320372934277,4.044079801848585,,3.0,0.0,5.0,,,,,,,,,,,,
classification,0.74509469373827,0.5105128327359237,0.11347447061735613,0.8062080365334992,0.5105128327359237,0.44813461534879584,0.7764535414057939,0.74509469373827,0.642612604646975,4.048957254623822,,3.0,0.0,6.0,,,,,,,,,,,,
classification,0.7451877588373067,0.511205358319833,0.11344684031309117,0.7871435524342915,0.511205358319833,0.449933994312842,0.7666784075545224,0.7451877588373067,0.6435360520435385,4.04031535821953,,3.0,0.0,7.0,,,,,,,,,,,,
classification,0.7478013370352562,0.5169618909508569,0.14050685437376814,0.7909784083509572,0.5169618909508569,0.46198688946805777,0.7697547696201427,0.7478013370352562,0.6503706068162721,4.006043368542466,,3.0,0.0,8.0,,,,,,,,,,,,
