valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.832048255143581,0.6882042138056366,0.5391853864373148,0.8861774333700514,0.6882042138056366,0.7217793491123838,0.853809205374015,0.832048255143581,0.8043068894668273,1.5013227406919325,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.8420334303351662,0.7067723278758009,0.570613049686002,0.8936687948248243,0.7067723278758009,0.7433502582103595,0.8620315411856677,0.8420334303351662,0.8183344394834768,1.2616522278366138,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.8633215414663226,0.7497921516275654,0.632423390869663,0.90029214560293,0.7497921516275654,0.7887141155874632,0.8760071803237861,0.8633215414663226,0.8478708180494765,1.2065435093469676,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.8604271741091388,0.7436159457292956,0.6243563025956298,0.9000362039355707,0.7436159457292956,0.7826147133733774,0.874309029568469,0.8604271741091388,0.8438945128350156,1.0986548139165981,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.873761657868522,0.7732583462468641,0.6609093749094416,0.8996229281214514,0.7732583462468641,0.8105467357028653,0.8818114849071329,0.873761657868522,0.8621097784845123,1.1434016554646893,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.8773776561115076,0.7821672346114874,0.670552937911327,0.8983818702059946,0.7821672346114874,0.8181779890899898,0.8836118183880798,0.8773776561115076,0.8670612926161707,1.0715073342341606,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.8670316654770216,0.7566083590576149,0.6433159217930815,0.9031974803474362,0.7566083590576149,0.7957146559600974,0.8792150954774142,0.8670316654770216,0.8525859165263234,1.2726941667697413,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.8820525692412678,0.7928884819614893,0.6833676024588665,0.898608437043098,0.7928884819614893,0.8273673900028464,0.8866896170310157,0.8820525692412678,0.8731471936607992,1.0421007305199914,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.8797778631881966,0.7867534507091059,0.6773958211225196,0.9000519412578434,0.7867534507091059,0.8224799212372778,0.8856890537395264,0.8797778631881966,0.8699993203129336,1.1105622712460121,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.887378518931045,0.8032922022983344,0.6983920846748198,0.9020475141136848,0.8032922022983344,0.8367347206898368,0.8912940223131699,0.887378518931045,0.8795784967133723,1.0253325806917857,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.890222953870379,0.8242942823028037,0.7290152656194141,0.9097075453599124,0.8242942823028037,0.8534836796303393,0.8959456096355812,0.890222953870379,0.8838990988046554,0.9808084886458828,
classification,0.8380767823280881,0.7094566278375107,0.5728522175953263,0.8916797317324068,0.7094566278375107,0.7444598063907413,0.85968850356351,0.8380767823280881,0.8144393802965011,1.4695721922387288,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.8558002594896703,0.7427901692886258,0.6233000534205118,0.9000398345331742,0.7427901692886258,0.7804451539444288,0.8722110546723209,0.8558002594896703,0.8386410332979374,1.131208961086178,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.8595428989653681,0.7488020490690908,0.6344222966869791,0.9044295977862025,0.7488020490690908,0.7870140980181816,0.87601235991434,0.8595428989653681,0.8432475905717268,1.246278885920531,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.864241990751522,0.7593806859999332,0.6462542201121716,0.9025401076054853,0.7593806859999332,0.797067122789902,0.8777239278301845,0.864241990751522,0.8498926691002671,1.162484678165415,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.8818323962873016,0.7993792345471409,0.6914931849706821,0.8992952497057751,0.7993792345471409,0.8321859425096301,0.8868603155997362,0.8818323962873016,0.8734833382328224,0.9464352917819816,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.8788549186599687,0.7905442408854928,0.6844545742109722,0.9031038979903203,0.7905442408854928,0.8255255532444863,0.8863097787820512,0.8788549186599687,0.8691684433760001,1.155786393040171,,1.0,0.0,5.0,,,,,,,,,,,,
classification,0.8769835989221199,0.7840227734792584,0.6806860689375129,0.9078313146951231,0.7840227734792584,0.8207247242962131,0.8869358379418997,0.8769835989221199,0.8661628176767984,1.2192584256112973,,1.0,0.0,6.0,,,,,,,,,,,,
classification,0.8773412289164643,0.7868713419533784,0.6806683696800094,0.903760642600314,0.7868713419533784,0.8224636242047023,0.8856359439471483,0.8773412289164643,0.8671222781108753,1.0917936408615792,,1.0,0.0,7.0,,,,,,,,,,,,
classification,0.882314780930836,0.7967115632873838,0.6939743110363559,0.9057815771001186,0.7967115632873838,0.8313636786299161,0.8893686983188256,0.882314780930836,0.8733025493391013,1.1308850826720878,,1.0,0.0,8.0,,,,,,,,,,,,
classification,0.8888103396653249,0.8100695376964837,0.7111254651364104,0.9077306585180318,0.8100695376964837,0.8429104824858301,0.894113515851569,0.8888103396653249,0.8813292695946652,1.1128800940643402,,1.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.8815616448093258,0.8068709359299296,0.698035652184659,0.896953339882374,0.8068709359299296,0.8371104166542974,0.8860049685878358,0.8815616448093258,0.8740631367839905,1.1260371712176895,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.4758382279005176,,2.0,0.0,0.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477158780236148,,2.0,0.0,1.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477231347219687,,2.0,0.0,2.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477282434718741,,2.0,0.0,3.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477298565660504,,2.0,0.0,4.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477305364287334,,2.0,0.0,5.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477310338488536,,2.0,0.0,6.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477313869178952,,2.0,0.0,7.0,,,,,,,,,,,,
classification,0.719155693261038,0.5,0.0,0.359577846630519,0.5,0.4183191179717315,0.5171849111497642,0.719155693261038,0.6016731505786129,4.477316341549553,,2.0,0.0,8.0,,,,,,,,,,,,
