valid_task,valid_accuracy,valid_balanced_accuracy,valid_mcc,valid_precision_macro,valid_recall_macro,valid_f1_macro,valid_precision_weighted,valid_recall_weighted,valid_f1_weighted,valid_log_loss,valid_roc_auc,fold,seed,epoch,task,accuracy,balanced_accuracy,mcc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,log_loss,roc_auc
classification,0.891018048615959,0.8479302541640523,0.7139283358986382,0.8662326448325139,0.8479302541640523,0.8564044149898911,0.8890966345720255,0.891018048615959,0.8896222885266168,0.34674508895485395,,0.0,0.0,0.0,,,,,,,,,,,,
classification,0.8960224019327158,0.8624191970310451,0.7306890789855982,0.8682934944689802,0.8624191970310451,0.8652854432023797,0.8952784720702622,0.8960224019327158,0.8956044798375596,0.3867007756316295,,0.0,0.0,1.0,,,,,,,,,,,,
classification,0.9019523252986532,0.86606992178943,0.744332979670973,0.8783645907847615,0.86606992178943,0.8719216534516857,0.9007140966685567,0.9019523252986532,0.9011428548703028,0.43571788053685834,,0.0,0.0,2.0,,,,,,,,,,,,
classification,0.9062036724737036,0.8662519922364986,0.7535928020779344,0.8876443837723642,0.8662519922364986,0.8760956175699026,0.9046334255882579,0.9062036724737036,0.904873734365454,0.5323516827996279,,0.0,0.0,3.0,,,,,,,,,,,,
classification,0.9057644188910415,0.866551962651425,0.7527108031972793,0.8864210336998524,0.866551962651425,0.8757460454303226,0.9042265994636715,0.9057644188910415,0.9045217771286442,0.5433191201660185,,0.0,0.0,4.0,,,,,,,,,,,,
classification,0.9062977982414169,0.8732799927892729,0.7563316534573556,0.883115610983515,0.8732799927892729,0.8780109266926168,0.9053204298630919,0.9062977982414169,0.9056886658899727,0.6051660164150393,,0.0,0.0,5.0,,,,,,,,,,,,
classification,0.9073018064303587,0.8663618804435629,0.7561076837334767,0.8901189369842695,0.8663618804435629,0.8772017813929092,0.9057177488864765,0.9073018064303587,0.9058473303397327,0.5799126472191278,,0.0,0.0,6.0,,,,,,,,,,,,
classification,0.9068547090337206,0.876508755322736,0.7588323546880814,0.8823460506435441,0.876508755322736,0.8793608846710836,0.9062242535604123,0.9068547090337206,0.9064964788947246,0.6535464407464625,,0.0,0.0,7.0,,,,,,,,,,,,
classification,0.9121257520256649,0.8811177236822325,0.7716397198125882,0.8905800099242459,0.8811177236822325,0.8856802513310903,0.9112655339591227,0.9121257520256649,0.9115870777315339,0.6218132359068409,,0.0,0.0,8.0,,,,,,,,,,,,
classification,0.9099294841123547,0.8709602047308478,0.7634229426090672,0.8927743339240065,0.8709602047308478,0.880996723098175,0.9084699049645044,0.9099294841123547,0.9086439825134142,0.6539445989833174,,0.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.908438607164585,0.8736815803969784,0.7740680778488993,0.9008636099404157,0.8736815803969784,0.8856989315828211,0.9074399996462373,0.908438607164585,0.9068339580151358,0.671602170664973,
classification,0.8855750357629995,0.8497539487691061,0.7088209175237473,0.8591289640098457,0.8497539487691061,0.8542430745469519,0.8843280515067203,0.8855750357629995,0.8848185183483545,0.3784295433913868,,1.0,0.0,0.0,,,,,,,,,,,,
classification,0.8960211583885026,0.856681085464585,0.7329610265757285,0.8765491698131325,0.856681085464585,0.8657995097396468,0.8942877353315887,0.8960211583885026,0.8946133077433931,0.43922629777497474,,1.0,0.0,1.0,,,,,,,,,,,,
classification,0.9021674041052596,0.8608559660864232,0.7478026062255346,0.8874182433108049,0.8608559660864232,0.8727521744049076,0.9005247536054624,0.9021674041052596,0.9004327863459403,0.45897704557748403,,1.0,0.0,2.0,,,,,,,,,,,,
classification,0.9056605342825776,0.8715789999492071,0.7587544678420522,0.887339127445962,0.8715789999492071,0.8789607193405468,0.9043642467092583,0.9056605342825776,0.9046813535217455,0.552603016591555,,1.0,0.0,3.0,,,,,,,,,,,,
classification,0.9067500582188363,0.8683830348167996,0.7601857158617364,0.8921749021963017,0.8683830348167996,0.879179960324801,0.9052865652407832,0.9067500582188363,0.9052927349859111,0.47898571347428737,,1.0,0.0,4.0,,,,,,,,,,,,
classification,0.907149273096244,0.8658284367101949,0.7604950548864651,0.8952349451752243,0.8658284367101949,0.8788871902531956,0.905728751258112,0.907149273096244,0.905357651095829,0.5979610300500842,,1.0,0.0,5.0,,,,,,,,,,,,
classification,0.9060264812535347,0.8791269733488349,0.7624432241063991,0.8833278234274353,0.8791269733488349,0.881190523034937,0.9055581727908424,0.9060264812535347,0.9057676086422664,0.6020195452170809,,1.0,0.0,6.0,,,,,,,,,,,,
classification,0.9079310688978343,0.8793121679066263,0.7663495539301852,0.8870767197175475,0.8793121679066263,0.883071195463694,0.9071630617042259,0.9079310688978343,0.9074647220657364,0.6124160873550565,,1.0,0.0,7.0,,,,,,,,,,,,
classification,0.9090289098107056,0.877039845979983,0.7678065598186027,0.8908916521596073,0.877039845979983,0.8835839405537125,0.9078961126624984,0.9090289098107056,0.9082086884292627,0.6880645526480782,,1.0,0.0,8.0,,,,,,,,,,,,
classification,0.9083136498220167,0.8718253251914094,0.7646358931579539,0.8931066615785817,0.8718253251914094,0.881585168548294,0.9069293483925582,0.9083136498220167,0.9070390825124862,0.6868305333145153,,1.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.9120730710452429,0.8837051756517391,0.7803183177105827,0.8967216991016851,0.8837051756517391,0.8898599923234034,0.9110922203441836,0.9120730710452429,0.9113400183523807,0.6636295586385302,
classification,0.8783578621223858,0.8418076815167688,0.6946331033616948,0.8529142075923675,0.8418076815167688,0.8470618462989157,0.8768248369349724,0.8783578621223858,0.8773857564254033,0.5131812066298369,,2.0,0.0,0.0,,,,,,,,,,,,
classification,0.8861580170410535,0.8386072802294631,0.7095121142022807,0.8716749975507374,0.8386072802294631,0.8527974098622313,0.8840300620878994,0.8861580170410535,0.8835129001536587,0.46242178329327405,,2.0,0.0,1.0,,,,,,,,,,,,
classification,0.8941982958946553,0.8475509593418842,0.7301570561721862,0.8834900410630115,0.8475509593418842,0.8628793974258967,0.892559329632481,0.8941982958946553,0.8916028968141069,0.6046668716353728,,2.0,0.0,2.0,,,,,,,,,,,,
classification,0.8978776142525174,0.8578164307022929,0.7409983611156277,0.8836314685845754,0.8578164307022929,0.8693330110214927,0.8962088143387203,0.8978776142525174,0.8961017368821285,0.5798163172011381,,2.0,0.0,3.0,,,,,,,,,,,,
classification,0.8974980635166537,0.854383857532306,0.7392879997393357,0.8855612600164529,0.854383857532306,0.86798003702069,0.8958729350723634,0.8974980635166537,0.8953419347567962,0.6825471905381477,,2.0,0.0,4.0,,,,,,,,,,,,
classification,0.8981797056545314,0.8690622340450993,0.7456266248736917,0.8766025160763231,0.8690622340450993,0.8727050891991281,0.8973249676966981,0.8981797056545314,0.8976649466393555,0.772322983034706,,2.0,0.0,5.0,,,,,,,,,,,,
classification,0.8982494190549961,0.8672027668673471,0.744980953784719,0.8778543298003549,0.8672027668673471,0.8722778295933498,0.8971384343447376,0.8982494190549961,0.8975222359640506,0.6836377757193284,,2.0,0.0,6.0,,,,,,,,,,,,
classification,0.9024089852827266,0.867985089584989,0.7538929664477831,0.8861261100962164,0.867985089584989,0.8763626058078495,0.9010053616837085,0.9024089852827266,0.9012357883066326,0.8451009412361998,,2.0,0.0,7.0,,,,,,,,,,,,
classification,0.9013323005422154,0.8642695473246231,0.7504366393206043,0.886496176918229,0.8642695473246231,0.8743537269934212,0.8998095850724187,0.9013323005422154,0.8998729266663185,0.8402139773505088,,2.0,0.0,8.0,,,,,,,,,,,,
classification,0.9034856700232378,0.8656994583904656,0.7556036397708614,0.8903046937421024,0.8656994583904656,0.8767638692837084,0.9020235562604748,0.9034856700232378,0.9019165710044984,0.7800604166208319,,2.0,0.0,9.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,classification,0.9188256549232159,0.8884587689158132,0.7862970922383241,0.8978949419702981,0.8884587689158132,0.8930191282190467,0.918050331380372,0.9188256549232159,0.918338667680279,0.5633156766408196,
classification,0.8818538567728126,0.8552315800796624,0.6985964789137536,0.8434640018781903,0.8552315800796624,0.8490320203034997,0.8842533873257458,0.8818538567728126,0.8828485240501336,0.3445487485887327,,3.0,0.0,0.0,,,,,,,,,,,,
classification,0.8931845325805401,0.8686491814005485,0.7267297273340229,0.8581562927825597,0.8686491814005485,0.863166976907916,0.8950311319458462,0.8931845325805401,0.8939554369709204,0.3857435051171329,,3.0,0.0,1.0,,,,,,,,,,,,
classification,0.9063454886693242,0.8547746432562551,0.7484431701808821,0.8947345093838893,0.8547746432562551,0.8720027720030454,0.9047745800307285,0.9063454886693242,0.9038537263551336,0.3862176319062509,,3.0,0.0,2.0,,,,,,,,,,,,
